work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL5840421W,-10.275224,-6.4951816,0.0,0.0,0.0,0.0,0.0,0.0
OL19240315W,-5.334588,-1.7058601,0.0,0.0,0.0,0.0,0.0,0.0
OL275912W,-10.519432,-6.838928,0.0,0.0,0.0,0.0,0.0,0.0
OL15830330W,-10.545253,-6.949506,0.0,0.0,0.0,0.0,0.0,0.0
OL5842663W,-10.465995,-6.8503747,0.0,0.0,0.0,0.0,0.0,0.0
OL5964473W,-10.621272,-6.9659653,0.0,0.0,0.0,0.0,0.0,0.0
OL2998724W,-10.548463,-6.9343367,0.0,0.0,0.0,0.0,0.0,0.0
OL5964472W,-10.622022,-7.0057163,0.0,0.0,0.0,0.0,0.0,0.0
OL5964458W,-10.49217,-6.8745437,0.0,0.0,0.0,0.0,0.0,0.0
OL8167652W,-10.998906,-7.726787,0.0,0.0,0.0,0.0,0.0,0.0
OL15426611W,-9.376983,-7.2399545,0.0,0.0,0.0,0.0,0.0,0.0
OL5740262W,-10.883744,-9.21717,0.0,0.0,0.0,0.0,0.0,0.0
OL8167684W,-10.954014,-7.385117,0.0,0.0,0.0,0.0,0.0,0.0
OL267096W,-4.8524485,-3.4677134,6.040065,-10.717139,-14.4188795,10.059592,23.706644,-2.8839703
OL8508672W,0.0,0.0,6.040077,-10.717137,0.0,0.0,0.0,0.0
OL28630162W,-5.1449666,-3.860497,0.0,0.0,0.0,0.0,0.0,0.0
OL15830198W,-1.2980537,-5.3725667,0.0,0.0,0.0,0.0,0.0,0.0
OL15860414W,-10.83891,-8.997777,6.0400805,-10.717126,0.0,0.0,0.0,0.0
OL354692W,-4.9211025,-4.525219,0.0,0.0,-19.049213,5.3226566,0.0,0.0
OL2687256W,-3.8552592,-7.069711,0.0,0.0,-1.3771977,21.512272,3.3559463,-9.303883
OL3438000W,-5.4973717,-4.556367,-23.741667,13.993709,-19.089148,5.3275833,3.1427276,-9.499693
OL5249283W,-8.745005,-5.446061,0.0,0.0,0.0,0.0,0.0,0.0
OL7796603W,-6.868779,-6.2690697,0.0,0.0,-19.087057,5.2958245,0.0,0.0
OL2906923W,-10.816843,-9.224273,0.0,0.0,0.0,0.0,0.0,0.0
OL8852221W,-7.4366612,-3.5332944,-22.92683,13.896311,0.0,0.0,0.0,0.0
OL3910775W,-8.622071,-4.9437633,0.0,0.0,0.0,0.0,0.0,0.0
OL41495W,-2.613604,-3.2034535,0.0,0.0,0.0,0.0,0.0,0.0
OL2800763W,-0.9431447,-2.4084475,0.0,0.0,0.0,0.0,0.0,0.0
OL17570465W,-0.26065898,-3.1890202,0.0,0.0,0.0,0.0,0.0,0.0
OL16071866W,-3.2774904,-7.973216,0.0,0.0,-1.3911822,21.481413,0.0,0.0
OL5760040W,-7.8514795,-6.8776402,-23.702303,14.19904,-16.050451,8.060196,0.0,0.0
OL5825726W,-2.9594088,-4.9424353,0.0,0.0,0.0,0.0,0.0,0.0
OL4317744W,-3.2093925,-8.292963,0.0,0.0,16.427504,-10.770694,0.0,0.0
OL4317747W,-3.260541,-8.235973,0.0,0.0,16.405638,-10.792767,0.0,0.0
OL4317751W,-3.230428,-8.257919,0.0,0.0,16.408129,-10.790383,3.190115,-9.322855
OL4317750W,-3.1084154,-6.891074,0.0,0.0,0.0,0.0,0.0,0.0
OL1925472W,-2.2142076,-4.785844,0.0,0.0,0.0,0.0,0.0,0.0
OL937383W,-6.9896827,0.31428292,-23.699337,14.4833975,27.184078,12.113634,23.369772,-6.114255
OL1971873W,-7.0750113,0.3886903,0.0,0.0,0.0,0.0,0.0,0.0
OL14948043W,-6.375408,-3.3604977,0.0,0.0,0.0,0.0,0.0,0.0
OL261864W,-3.4566603,-4.67746,0.0,0.0,0.0,0.0,0.0,0.0
OL261866W,-1.17888,-4.4908743,6.534568,11.08903,-2.6885915,-5.2885604,-21.276127,28.148085
OL261868W,-3.6115806,-4.2848635,0.0,0.0,-0.17137058,16.274763,9.720046,4.1645103
OL488293W,-3.126897,-4.9717174,0.0,0.0,-24.767159,6.368207,0.0,0.0
OL261865W,-3.3914425,-4.992649,0.0,0.0,0.0,0.0,0.0,0.0
OL261870W,-7.8485966,-6.8652387,6.550018,11.090794,-24.789097,6.317499,3.3107789,-9.254833
OL276370W,-2.5567718,-4.972017,1.0467242,28.366344,-17.669054,10.319315,23.331758,-6.193611
OL28609149W,-2.702171,-5.204826,0.0,0.0,0.0,0.0,0.0,0.0
OL18340972W,-4.9561787,-3.2213724,-21.812174,14.446915,0.0,0.0,0.0,0.0
OL159506W,-5.436843,-5.850619,-21.702347,14.435696,0.0,0.0,3.0976024,-9.197307
OL159524W,-5.1205173,-3.8491912,0.0,0.0,0.0,0.0,0.0,0.0
OL318816W,-6.92288,-6.0712333,-22.8585,13.915684,-24.430454,6.171563,3.087975,-9.327572
OL25687180W,-6.528493,-5.8413663,0.0,0.0,0.0,0.0,0.0,0.0
OL318857W,-9.369812,-4.7967477,0.0,0.0,0.0,0.0,0.0,0.0
OL7921140W,-2.7550204,-6.07869,0.0,0.0,0.0,0.0,0.0,0.0
OL318899W,-0.3000422,-6.6007705,-22.755617,13.96194,0.0,0.0,0.0,0.0
OL7921081W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL24034W,-1.322354,-2.7979934,-20.26444,17.561085,15.253032,1.244309,18.600979,0.7599087
OL1919315W,-5.2815924,-4.6785226,0.0,0.0,-24.717606,6.306458,0.0,0.0
OL274505W,-4.296957,-3.504546,-20.846985,18.478703,7.321014,4.8630867,3.4123907,-9.463965
OL1898270W,-6.9546213,0.3250031,0.0,0.0,0.0,0.0,0.0,0.0
OL17395302W,-0.6672895,-5.6409974,0.0,0.0,0.0,0.0,0.0,0.0
OL469278W,-2.2686586,-2.1433744,0.0,0.0,0.0,0.0,0.0,0.0
OL10834W,-4.096149,-5.1222982,0.0,0.0,0.0,0.0,0.0,0.0
OL59733W,1.7845929,-3.3228486,-21.923923,15.021766,12.020626,0.1442893,-13.679824,27.862785
OL59681W,1.9222034,-3.2243478,0.0,0.0,0.07987044,0.24309018,0.0,0.0
OL59695W,2.4755285,-3.996101,0.0,0.0,0.0,0.0,0.0,0.0
OL59698W,1.9616736,-2.8361228,0.0,0.0,0.0,0.0,0.0,0.0
OL59711W,1.6695151,-3.7995262,0.0,0.0,0.0,0.0,-11.104761,8.373144
OL2163629W,1.5281425,-3.8384829,-20.274906,15.634544,10.4396,8.15468,-22.511293,26.500055
OL2163715W,1.557642,-3.827029,0.0,0.0,0.0,0.0,0.0,0.0
OL16603305W,-6.8056307,-6.986852,-21.849743,14.645205,-1.4533639,21.48858,3.1817036,-9.256643
OL2695226W,-2.1986449,-4.577727,0.0,0.0,0.0,0.0,0.0,0.0
OL5745660W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL1829528W,-8.954702,-6.014144,-20.891466,18.027739,0.0,0.0,0.0,0.0
OL520041W,-7.167476,-5.893725,-23.759153,14.957251,5.562077,4.008588,3.2134895,-9.131258
OL15212266W,-6.8577795,-2.9521136,-4.5770917,14.130974,0.0,0.0,0.0,0.0
OL72808W,-6.423362,-4.9565372,-4.577208,14.131213,0.6175313,3.3777072,1.2544745,27.392637
OL1921185W,-3.1781769,-4.5074954,0.0,0.0,13.992944,20.33912,-16.801058,28.431782
OL1921198W,-5.746962,-5.5356665,-17.995169,15.729819,0.11225641,2.3079343,0.0,0.0
OL1921186W,-3.8864033,-3.8950124,0.0,0.0,0.0,0.0,0.0,0.0
OL1921188W,-3.383585,-4.689516,0.0,0.0,0.0,0.0,0.0,0.0
OL1921194W,-2.9115684,-4.908759,0.0,0.0,14.021076,20.319857,0.0,0.0
OL1921187W,-2.8915205,-5.054878,0.0,0.0,-18.21391,7.518556,0.0,0.0
OL1921184W,-3.8298604,-4.1956906,0.0,0.0,-11.5724945,0.2947123,0.0,0.0
OL2636670W,-3.9584465,-5.3920193,0.0,0.0,0.0,0.0,0.0,0.0
OL2636676W,-3.227265,-4.5522547,0.0,0.0,0.0,0.0,0.0,0.0
OL2636665W,-6.6001067,-2.9497414,0.0,0.0,22.119497,-0.16234042,0.0,0.0
OL2636675W,-4.9742484,-5.6968474,0.0,0.0,-17.87297,10.1840925,0.0,0.0
OL2636672W,-3.949885,-5.4190884,-20.878563,18.025906,-0.008979741,2.9252608,-11.202756,31.327866
OL2636662W,-7.0919714,-4.2799916,0.0,0.0,-14.421041,1.8583684,0.0,0.0
OL2636671W,-3.612811,-3.6073413,0.0,0.0,0.0,0.0,0.0,0.0
