,Unnamed: 0,work,subjects,people,times,places
10,10,OL4620939W,"['Nonfiction', 'Travel', 'CARE/International', 'Description and travel', 'Kenya - Description and travel', 'Reisebericht', 'Kenya, description and travel', 'CARE (Firm)', 'Reisebericht 2002', 'Africa, history']",,,['Kenia']
11,11,OL74116W,"['English language', 'Usage', 'Rhetoric', 'Dictionaries', 'Language Arts', 'Nonfiction', 'English language, usage', 'Engels', 'Moeilijke woorden', 'Ingles (Dicionarios)', 'Lexicologie', 'Langues', 'Dictionnaires', 'Fiction, general', 'English language, dictionaries', 'Encyclopedias and dictionaries']",,,
12,12,OL74127W,"['Social life and customs', 'Description and travel', 'Humour', 'Journeys', 'Travel', 'Civilization', 'Nonfiction', 'Australia', 'Bill Bryson', 'Description', 'Large type books', 'Australia, social life and customs', 'Australia, description and travel', 'Australia, civilization', '[re cit de voyage]', 'Oceania, history', 'New York Times reviewed']",['Bill Bryson'],"['21st century', '19th century']",['Australia']
13,13,OL74117W,"['Anecdotes', 'Social life and customs', 'Description and travel', 'Large type books', 'New York Times reviewed', 'Biography & Autobiography', 'Nonfiction', 'Cuban prose literature', 'Cuban literature', 'Cuban fiction', 'Travel', 'Manners and customs', 'United states, description and travel', 'United states, social life and customs']",['Bill Bryson'],['1971-'],['United States']
14,14,OL74124W,"['Cities and towns', 'Social life and customs', 'Description and travel', 'Travel', 'Journeys', 'Cities and towns, united states', 'United states, description and travel', 'United states, social life and customs', 'Nonfiction', 'Manners and customs', 'Handbooks, manuals', 'United states, history', 'Korean langauge materials']",['Bill Bryson'],"['1971-', '1987', '1988', '1981-']","['United States', 'United States of America', 'Iowa', 'Europe']"
15,15,OL74125W,"['Travel', 'Description and travel', 'Travel writing', 'Humor and entertainment', 'Large type books', 'Europe, description and travel', 'Humor (Nonfiction)', 'Nonfiction', 'Reisebexicht', 'Reisebericht', 'Reisen', 'Text']",['Bill Bryson'],['Geschichte 20. Jh'],"['Europe', 'Europa']"
16,16,OL74129W,"['Voyages', 'England', 'Description and travel', 'Journeys', '20th century', 'Reisebericht', 'Civilization', 'Travel', 'Nonfiction', 'American Authors', 'Authors, American', 'England, description and travel', 'Large type books', 'New York Times reviewed', 'Great britain, description and travel']",['Bill Bryson'],"['20th century', '1990s']","['England', 'Great Britain', 'United Kingdom', 'Wales', 'Scotland']"
17,17,OL74126W,"['English language', 'History', 'English language, history', 'New York Times reviewed', 'Language', 'English Language', 'Anglès', 'Història']",,,
18,18,OL14926019W,"['Fiction, fantasy, epic', 'Middle earth (imaginary place), fiction', 'Baggins, frodo (fictitious character), fiction', 'Baggins, bilbo (fictitious character), fiction', 'Gandalf (fictitious character), fiction', 'Science fiction, fantasy, horror', 'British and irish fiction (fictional works by one author)', 'Fiction, fantasy, general']",,,
19,19,OL27448W,"['The Lord of the Rings', 'Fiction', 'Ficción', 'English Fantasy fiction', 'Ficción fantástica inglesa', 'Fantasy fiction', 'Fiction in English', 'Open Library Staff Picks', 'Middle Earth (Imaginary place)', 'Fiction, fantasy, epic', 'Middle earth (imaginary place), fiction', 'Baggins, frodo (fictitious character), fiction', 'Gandalf (fictitious character), fiction', 'British and irish fiction (fictional works by one author)', 'English literature', 'Frodo Baggins (Fictitious character)', 'Baggins, bilbo (fictitious character), fiction', 'Fiction, fantasy, general', 'English language', 'Fiction, media tie-in', 'Gift books', 'Quests (Expeditions)', 'Wizards', 'Terre du Milieu (Lieu imaginaire)', 'Romans, nouvelles', 'Quête']","['Frodo Baggins', 'Samwise Gamgee', 'Meriadoc Brandybuck', 'Peregrin Took', 'Gandalf the Grey', 'Aragorn', 'Legolas Greenleaf', 'Gimli', 'Boromir', 'Denethor', 'Faramir', 'Galadriel', 'Celeborn', 'Elrond', 'Arwen Undómiel', 'Bilbo Baggins', 'Théoden', 'Éomer', 'Éowyn', 'Treebeard', 'Tom Bombadil', 'King Thranduil', 'Silvan Elves', 'Sauron', 'Elves of Eregion', 'the Nazgûl', 'The Witch-king of Angmar', 'Saruman the White', 'Gríma Wormtongue', 'Gollum', 'Shelob', ""Durin's Bane"", 'Mouth of Sauron']",['The end of the third age'],"['Mordor', 'Hornburg', 'Isengard', 'Cracks of Doom', 'Fangorn Forest', 'Middle Earth']"
